小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
摩拜单车,17,977582,90%,出行交通,交通出行火车票酒店飞机票,摩拜单车,2017-01-11,扫码即可骑走的共享单车,4.5
她厨美食,19,447498,98%,生活美食,世界美食中国美食知名美食流行美食外国美食美食天下食谱大全家常食谱菜谱食谱,考拉网络,2017-04-07,源自意大利COOK FUN的原生理念开发，专注于世界美食的分享制作。由国际资深美厨家推送，易学的步骤、干净的画面、精美的拍摄、清晰的制作流程。让每一个人的厨房都充满艺术范，舌尖上的世界，谱写属于你的美厨范！,4.9
糗事秀,14,398650,84%,社交社区,搞笑段子趣味阅读表情社交,糗事秀,2017-01-19,每天分享有趣的图文信息，笑话锦集，让您的生活每天多姿多彩，爆笑连连,4.2
网易漫画,8,291961,100%,阅读漫画,卡通在线漫画,网易漫画,2017-02-14,网易漫画，有态度的看漫画神器，精品国漫日漫免费看！独家签约国内漫画大神。,5.0
一家民宿+,4,281619,76%,旅游酒店住宿,民宿酒店住宿日租房自由行民宿,一家民宿,2017-01-28,全球华人民宿信息平台，出境游旅行必备。专注华人一站式旅行，轻松跨越语言障碍。站内查看完相关房源信息。,3.8
汽车之家+,14,238965,92%,生活汽车,汽车资讯汽车报价汽车新闻,小目标,2017-01-23,"汽车之家为您提供最精彩的汽车新闻、评测、报价、图片、视频,最真实的用户买车、用车感受文章，是全球访问量最大的汽车网站。",4.6
轻松同传,3,204639,74%,教育单词字典,智能翻译词典彩云翻译中英互译英文阅读英文学习口语学习有道词典金山词霸百度词典,智能翻译,2017-02-15,致力于人工智能的语音翻译服务，让语言转化更方便、更好玩。通过文字或者语音的方式直接翻译，且地道口语化。学习、出国旅游必备神器。是英文翻译、英文词典、有道词典、金山词霸等基础软件的升级产品。,3.7
QQ阅读,10,183641,94%,阅读电子书,,QQ阅读,2017-01-12,"【全网独家】热播剧《放弃我，抓紧我》（陈乔恩王凯主演的电视剧）,《心理罪》,《法医秦明》,《美人为馅》，《如果蜗牛有爱情》原著尽在QQ阅读

【更多热书】《诛仙》：网文大神萧鼎巨著，看烧火棍少年的佛道双修！《麻雀》：李易峰主演谍战剧原著，民国谍战小说新巅峰！
《微微一笑很倾城》：校园王子+游戏高手肖奈网上网下全方位捕猎美人心攻略...

【个性推荐】精选信息流推荐理由告诉你，私人定制不忽悠； 

【游戏中心】文游联动，热门小说改编游戏，等你来玩
更多贴心服务等你发现；

【云书架】书籍、阅读进、笔记，关联帐号，自动云同步；

【发现好书】今日免费，查看免费好书；包月专区，只看包月书籍；找书神器，自定义条件，随心查找~~ 

【名家齐聚】大神携名作汇聚名人堂，快来找找你心水的作家！ 

【实惠签到】每日签到领好礼，签满7天，周日还能抽大奖！ 

【精致排版】优化排版体验，图文并茂，打造优秀阅读体验~~

【阅读时长】看看你的阅读时长可以打败多少人，更有惊喜等着你哦",4.7
名画滤镜APP,0,165155,0%,图像美化滤镜,美图学习社交,聚类科技,2017-01-07,名画滤镜APP第一时间推出微信小程序版本啦！想把照片变成像梵高《星空》那样的艺术作品吗？无需安装APP，名画滤镜小程序就可以帮到你。名画滤镜小程序是一款基于人工智能的P图利器，轻松把你的照片变成世界名画风格，艺术感爆棚，其移动APP版本更入选爱范儿MindStore周榜，快来试试名画滤镜，体验一下梵高怎样“画”出你的照片，此外还有莫奈《日出印象》、蒙克《尖叫》以及水彩、素描、彩色玻璃、蜡笔等多种名画艺术风格可供选择，让我们与艺术大师们汇聚一堂，聆听、体验他们的艺术大手笔！,0.0
阅读新发现,23,133042,92%,阅读资讯,阅读资讯生活科技,yanyezzzzz,2017-02-05,健康生活新阅读，提供各类饮食知识养生资讯，传递健康创建科学科学生活观。,4.6
随身养,5,101540,96%,健康健康,健康管理养生资讯社交,随身养,2017-01-23,一个崇尚科学养生的内容与交流平台,4.8
极简笔记,22,99187,100%,办公存储,笔记日记公办工具,Q,2017-02-08,随时随地，即用即走，快速记录，同步笔记,5.0
洽总日签,11,87769,92%,工具日历,日历签到,上海洽客网络科技有限公司,2017-03-06,洽总日签是一款玩法多样、内容丰富的签到应用，由高逼格城市生活方式的倡导者、社群精神领袖 #洽总 #(公众号：checkinboss) 创建。,4.6
豆当专业搬家公司,0,87174,0%,生活家政服务,搬家公司面包车出租货车出租,徐州豆当网络科技,2017-01-16,豆当搬家是专业的搬家公司，在这里可以查询提供搬家的车型和报价,0.0
热点小黄历,20,80461,96%,工具日历,运营热点营销热点公关,深圳道乐科技有限公司,2017-02-24,全年400+营销活动公关热点大全，借势营销节点随时查，运营公关的必备宝典。,4.8
忆年共享相册,10,80131,90%,图像美化滤镜,纪念相册网络相册DIY相册,忆年,2017-01-09,"忆年共享空间，让小圈子共享照片更方便。为亲密小圈子提供快速交换和共享照片的服务，让我们的照片在一起。
照片只有进入空间的小伙伴才能看到，并且云端永久储存在专属于你们的私密小空间。忆年想用一个个小而美的私密空间，为你记录所有值得分享的时刻。",4.5
闪电健身Mini,11,75394,100%,健康运动,闪电健身减肥瘦身,Seven,2017-01-09,适合你的锻炼才会有效果。闪电健身，你不用成为专家，一样可以练出好身材。,5.0
妙汇商店,0,74081,0%,购物商城,商城生活服务护肤用品,妙汇,2017-01-05,发现创意，乐享生活；个性化购物与创意生活指南。提供高品质的产品，注重时尚与性价比，强调设计感与品位。正品保障，全场包邮。,0.0
乐学速算,2,73735,100%,教育学习,口算速算心算,南京微加倍信息科技有限公司,2017-01-31,通过自主练习和好友PK，快速提升低年级小学生的口算、心算和速算能力。,5.0
腾讯视频,15,70239,94%,视频在线视频,影视电影娱乐视频,腾讯视频,2017-01-12,众多顶级内容独家揽入，HBO独家官方授权播放平台，腾讯视频与你一起迎接崭新的2017！,4.7
滴滴出行DIDI,7,66100,94%,出行交通,交通出行生活服务,Joe_志文,2017-01-10,滴滴一下，随叫随到。滴滴出行小程序版，迅速，快捷。,4.7
小新任务,3,65014,94%,办公办公软件,便捷高效沟通轻松办公,天津市瑟威斯科技有限公司,2017-01-20,任务分配的好助手。你可以通过小新任务，创建你自己的团队，邀请团队成员，发布任务，指定执行人，高效协作完成任务,4.7
王者荣耀官网,3,64045,94%,阅读资讯,王者荣耀腾讯游戏娱乐手游,王者荣耀官网,2017-01-12,《王者荣耀》是全球首款5V5英雄公平对战手游，腾讯最新MOBA手游大作！5V5王者峡谷、5V5深渊大乱斗、以及3V3、1V1等多样模式一键体验，热血竞技尽享快感！海量英雄随心选择，精妙配合默契作战！10秒实时跨区匹配，与好友组队登顶最强王者！操作简单易上手，一血、五杀、超神，极致还原经典体验！实力操作公平对战，回归MOBA初心！,4.7
京东购物,9,61391,96%,购物商城,京东商城生活服务,京东购物,2017-01-12,"-----多快好省，只为品质生活-----
1. 新人大礼：新人专享188元大礼包
2. 专享特权：每日多款商品享受手机专享价
3. 正品行货：100％正品行货、全国联保
4. 闪电到货：211限时达、次日达、极速达、夜间配",4.8
毒舌电影社区,11,57892,90%,视频在线视频,最新资讯电影社交,毒舌电影,2017-01-08,集影片推荐、影片信息查询和深度影评于一体的影片资讯小程序。想知道有哪些新电影资源，想知道有什么好电影，毒舌电影满足您。,4.5
探城美食APP,4,54222,100%,生活美食,社交美食推荐周边搜索,香灰,2017-01-07,探城是专注于发现与分享的精品美食社区，一款吃货必备的优质美食探店神器，每日精选探文推荐同城美味好餐厅，已开通全国11个热门城市。,5.0
美团外卖+,10,52505,96%,生活美食,生活服务商城美食周边搜索,美团外卖+,2017-01-12,美团外卖，目前国内最大的外卖网上订餐平台。美团外卖提供北京，上海，杭州，广州，天津等全国300城市网上订餐，附近的外卖送餐，药品，网上超市百货，水果外卖，上美团外卖官网。,4.8
买一只+,0,52274,0%,购物商城,养宠顾问宠物商店,charlie,2017-01-09,放心买宠物，就找『买1只』（1）卖家认证（2）担保交易（3）30天保障（4）健康保险（5）分期付款（6）大礼包（7)养宠顾问,0.0
去哪儿机票火车票汽车票,8,52097,98%,出行交通,交通出行火车票飞机票,去哪儿出行,2017-01-12,光速抢票，极速出票，免登录，可预约,4.9
爱奇艺视频,8,50898,90%,视频在线视频,爱奇艺视频电视电影,爱奇艺视频,2017-01-24,爱奇艺视频小程序为用户提供了正版、高清的热门电视剧资源，《射雕英雄传》、《美人为馅3》、《无间道》等海量剧集等你来看！,4.5
购物决策助手,0,50383,0%,购物商城,护肤品商城购物攻略生活服务,什么值得买,2017-01-09,购物遇到困难无法抉择？试试购物决策助手吧，专家意见结合用户需求，最适合你的商品，就要这么选！（什么值得买smzdm.com出品）,0.0
孕期提醒APP,4,49271,100%,母婴育儿,育儿女性健康,孕期提醒APP,2017-01-04,孕期实用工具，胎宝宝发育和准妈妈自身变化；产检计划、孕期体重管理计划和饮食计划；预产期计算、胎教音乐、症状解读等小工具。,5.0
腾讯网,6,49267,100%,阅读资讯,新闻视频最新资讯,腾讯网,2017-01-20,24小时全方位资讯，更新你的每一天,5.0
饿了么外卖服务,7,48669,98%,生活美食,外卖点餐,上海拉扎斯信息科技有限公司,2017-01-10,饿了就用饿了么！小程序版，更方便，微信也能点外卖。,4.9
亿云便利店,2,45838,100%,购物商城,超市便利店商城,亿云店铺,2017-01-24,便利店超市专用,5.0
喊话,10,45519,100%,社交社区,打赏广告发布市场调查,123,2017-02-15,喊话是一个低成本的广告发布平台，广告投入金额以打赏方式赠送给观看用户。,5.0
IT查报价,1,45142,100%,工具查询,电商商业服务生活服务,IT查报价,2017-01-13,每月科技新品预告，用最直观的方式解读数码产品，帮助您快速掌握数码新品介绍和全网报价。此外，我们还提供最客观，中立的产品口碑评分排行，看排行再消费，更快更优的选择产品。,5.0
小小包麻麻好物,17,44040,98%,母婴育儿,育儿辅食添加幼儿疾病护理母婴用品评测,dada,2017-01-09,300万父母关注！正确辅食添加，幼儿疾病护理，母婴用品评测，0-4岁前沿育儿知识全在这里！,4.9
