,游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数,开发游戏个数,isdata,score,Chinese,English,Japanese,Korean,heat,year,month,day,pay,system,containGames,gameversion
1,捕鱼达人,7.6,益智休闲,中文,95℃,2015/7/29,1.9.0,道具收费,触控科技,2.3以上,6654,114,9,0,1,1,0,0,0,95,1,17,521,0,2.3,0,1 
2,NBA2K14,7.5,体育运动,中文,94℃,2014/5/27,1.3,完全免费,2K Games,4.0以上,16190,3712,9,0,1,1,0,0,0,94,2,31,949,1,4,1,1 
3,愤怒的小鸟六周年版,5.9,益智休闲,中文,93℃,2016/9/29,6.0.3,道具收费,拓维信息系统股份有限公司,2.3以上,7187,280,4,0,0,1,0,0,0,93,0,3,93,0,2.3,0,6 
4,三国志无双战,5.1,动作游戏,中文,90℃,2012/7/31,1.3,完全免费,"PlayBean Co., Ltd.",2.2以上,9372,1608,1,0,0,1,0,0,0,90,4,53,1614,1,2.2,0,1 
5,地铁跑酷-冰岛,8.4,益智休闲,中文,89℃,2016/9/23,2.54.0,道具收费,乐逗,4.0以上,8804,888,5,0,1,1,0,0,0,89,0,3,99,0,4,0,2 
6,火箭飞人,8.2,动作游戏,英文,89℃,2016/8/30,1.9.10,完全免费,Halfbrick Studios,4.0.3以上,7371,544,3,0,1,0,1,0,0,89,0,4,123,1,4.03,0,1 
7,暴力摩托完整版,5.1,动作游戏,英文,89℃,2015/2/17,1.11,完全免费,Adrenaline Crew,2.0.1以上,4461,118,1,0,0,0,1,0,0,89,1,22,683,1,2.01,0,1 
8,愤怒的小鸟太空版,9.5,益智休闲,英文,87℃,2015/7/6,2.2.1,完全免费,Rovio,2.3以上,5238,127,17,0,1,0,1,0,0,87,1,17,544,1,2.3,0,2 
9,NBA 2K17免验证版(含数据包),8,体育运动,英文,85℃,2016/9/30,0.0.21,完全免费,2K Games,4.3以上,2411,907,9,1,1,0,1,0,0,85,0,3,92,1,4.3,1,0 
10,天天酷跑,6.9,益智休闲,中文,84℃,2016/7/22,1.0.35.0,完全免费,腾讯,2.2以上,8245,1085,9,0,0,1,0,0,0,84,0,5,162,1,2.2,0,1 
11,杀手2-影子阴谋,6.5,射击游戏,中文,84℃,2016/7/21,4.2.1,道具收费,北京通联天地科技有限公司,2.1以上,2457,1912,1,0,0,1,0,0,0,84,0,5,163,0,2.1,0,4 
12,我的世界移动版,8.3,养成游戏,"英文, 中文",80℃,2016/9/21,0.15.90.7,完全免费,Mojang,4.2以上,66893,7989,1,0,1,1,1,0,0,80,0,3,101,1,4.2,0,0 
13,NBA2K13(含数据包),8.1,体育运动,英文,80℃,2013/12/5,1.1.2,完全免费,2K Games,4.0以上,12011,725,9,1,1,0,1,0,0,80,3,36,1122,1,4,1,1 
14,极品飞车:无限(含数据包),6.5,竞速游戏,"英文, 中文",79℃,2016/9/28,1.5.3,完全免费,EA,4.0.3以上,5680,3534,28,1,0,1,1,0,0,79,0,3,94,1,4.03,0,1 
15,神庙逃亡2,8.1,益智休闲,中文,79℃,2016/9/26,3.5.0,道具收费,乐逗,2.3以上,8642,582,5,0,1,1,0,0,0,79,0,3,96,0,2.3,0,3 
16,空中打击高清完整版,5,飞行游戏,英文,79℃,2014/1/15,1.5.1,完全免费,Art In Games,2.0.1以上,4525,285,2,0,0,0,1,0,0,79,2,35,1081,1,2.01,1,1 
17,鳄鱼小顽皮爱洗澡,9,益智休闲,中文,78℃,2016/3/16,1.19.0,免费试玩,触控科技,2.2以上,8789,335,9,0,1,1,0,0,0,78,0,9,290,0,2.2,0,1 
18,GTA侠盗猎车手:圣安地列斯(含数据包),8.1,动作游戏,英文,77℃,2016/4/1,1.08,完全免费,Rockstar Games,3.0以上,96354,11410,6,1,1,0,1,0,0,77,0,8,274,1,3,1,1 
19,狂野飙车8:极速凌云,8.2,竞速游戏,中文,76℃,2015/9/15,2.4.1,道具收费,北京万盛和泰科技有限公司,2.3以上,14640,5039,1,0,1,1,0,0,0,76,1,15,473,0,2.3,0,2 
20,极品飞车17:最高通缉,8.5,竞速游戏,中文,75℃,2016/9/27,1.3.71,完全免费,EA,2.3以上,27449,7235,28,0,1,1,0,0,0,75,0,3,95,1,2.3,0,1 
21,跳跃忍者,5.3,动作游戏,英文,75℃,2016/7/17,2.2.0,完全免费,Backflip Studios,4.0.3以上,4093,105,3,0,0,0,1,0,0,75,0,5,167,1,4.03,0,2 
22,GTA侠盗猎车手:罪恶都市(含数据包),7.8,动作游戏,英文,75℃,2015/4/2,1.07,完全免费,Rockstar Games,2.3以上,39297,4549,6,1,1,0,1,0,0,75,1,20,639,1,2.3,1,1 
23,捕鱼达人2,8.1,益智休闲,中文,74℃,2016/1/13,1.3.3,道具收费,触控科技,2.2以上,11035,114,9,0,1,1,0,0,0,74,0,11,353,0,2.2,0,1 
24,背刺商店版(含数据包),7.9,动作游戏,中文,74℃,2013/12/7,1.0.4,完全免费,Gameloft,2.1以上,10150,2293,32,1,1,1,0,0,0,74,3,36,1120,1,2.1,0,1 
25,愤怒的小鸟星球大战,8.9,益智休闲,英文,73℃,2014/8/26,1.5.3,完全免费,Rovio,2.3以上,5745,234,17,0,1,0,1,0,0,73,2,28,858,1,2.3,0,1 
26,愤怒的小鸟季节版,9,益智休闲,英文,72℃,2016/9/28,6.4.0,完全免费,Rovio,4.1以上,7241,369,17,0,1,0,1,0,0,72,0,3,94,1,4.1,0,6 
27,Pokemon GO,7.3,益智休闲,英文,72℃,2016/9/24,0.39.1,完全免费,"Niantic, Inc.",4.4以上,656,27,1,0,0,0,1,0,0,72,0,3,98,1,4.4,0,0 
28,神庙逃亡英文版,5,益智休闲,英文,72℃,2016/6/17,1.6.1,完全免费,Imangi Studios,2.3以上,3797,59,1,0,0,0,1,0,0,72,0,6,197,1,2.3,0,1 
29,反恐精英正式版,7.5,射击游戏,英文,71℃,2016/5/13,3.589,完全免费,Studio OnMars,2.3以上,8399,1930,2,0,1,0,1,0,0,71,0,7,232,1,2.3,0,3 
30,极品飞车13:变速(含数据包),7.7,竞速游戏,中文,71℃,2013/12/27,2.0.8,完全免费,EA,2.0以上,6836,1428,28,1,1,1,0,0,0,71,3,36,1100,1,2,0,2 
31,激流快艇通用版,7.9,竞速游戏,中文,71℃,2013/11/26,1.6.3,完全免费,Vector Unit,2.3以上,1423,249,3,0,1,1,0,0,0,71,3,37,1131,1,2.3,0,1 
32,都市赛车5中文版,4.9,竞速游戏,中文,71℃,2010/8/20,3.0.3,完全免费,Gameloft,2.0以上,6077,62,32,0,0,1,0,0,0,71,6,76,2325,1,2,0,3 
33,部落冲突,7.5,策略塔防,中文,70℃,2016/9/6,8.332.16,完全免费,Supercell,4.0.3以上,12112,1890,2,0,1,1,0,0,0,70,0,3,116,1,4.03,0,8 
34,真实赛车3,8.8,竞速游戏,"中文, 韩文",69℃,2016/9/23,4.6.2,完全免费,EA,4.0.3以上,27673,6755,28,0,1,1,0,0,1,69,0,3,99,1,4.03,0,4 
35,一起玩陶艺,7.9,益智休闲,中文,69℃,2016/1/14,2,道具收费,东品西尚网络科技（北京）有限公司,1.6以上,2185,437,2,0,1,1,0,0,0,69,0,11,352,0,1.6,0,2
36,NBA2K16(含数据包),8.2,体育运动,英文,69℃,2015/12/11,0.0.29,完全免费,2K Games,4.3以上,15444,3970,9,1,1,0,1,0,0,69,1,12,386,1,4.3,1,0 
